Subject,Condition,Threshold,DiffusionConstant,Span,Area,Curvature,Speed
1,Uncrowded,1.3879252238668498,11.123342514038086,3.1320552825927734,136.85760498046875,11.986981391906738,40.59310646812514
2,Uncrowded,1.1869768366256048,4.8931193351745605,2.129168748855591,57.153602600097656,15.313240051269531,38.04379323232088
3,Uncrowded,1.6221813990841325,18.518144607543945,4.186067581176758,127.08000183105469,12.723287582397461,37.563107463675486
4,Uncrowded,1.4339980625888287,15.609822273254395,3.9194657802581787,105.1199951171875,9.82190227508545,45.66540799822126
5,Uncrowded,1.271157495633274,7.069901943206787,2.5184733867645264,94.92479705810547,14.342986106872559,37.08101009955773
6,Uncrowded,1.798821825052488,23.487701416015625,3.79150128364563,131.40000915527344,10.634859085083008,45.861079117962134
7,Uncrowded,1.621396376077667,10.750472068786621,3.090228319168091,113.20600128173828,13.026337623596191,45.60876199934218
8,Uncrowded,1.5122562526059982,18.54180908203125,3.8858041763305664,100.69920349121094,9.505563735961914,47.354900338433005
9,Uncrowded,1.746324059748696,14.47989273071289,3.209974527359009,132.01919555664062,11.348844528198242,48.65060696359408
10,Uncrowded,1.6707016263617271,14.243762969970703,4.271139144897461,281.2159729003906,10.27531623840332,46.31297845709814
1,Crowded,2.1124803513673664,15.638985633850098,3.6056973934173584,137.052001953125,11.067739486694336,43.568986446299455
2,Crowded,1.7374452677483854,5.64488410949707,2.3294665813446045,44.01000213623047,13.361727714538574,43.75154135693079
3,Crowded,3.167642790675422,39.43160629272461,6.270794868469238,177.25,10.129772186279297,44.8580103020919
4,Crowded,1.9189524625610117,14.408658981323242,3.6877453327178955,104.11520385742188,10.76601791381836,48.58767142224668
5,Crowded,1.518430669735791,6.2491230964660645,2.3115267753601074,67.19999694824219,15.830089569091797,34.76736883565682
6,Crowded,2.4102338966353387,30.61953353881836,4.498380661010742,139.77920532226562,9.684033393859863,46.08502741096434
7,Crowded,2.048783607099851,25.096704483032227,3.762507438659668,104.15679931640625,12.34740924835205,44.435813439410666
8,Crowded,1.907150886256241,15.031909942626953,3.571697473526001,87.55199432373047,10.545414924621582,47.65965542934909
9,Crowded,2.311591726905961,11.302197456359863,3.046455144882202,126.69440460205078,11.411051750183105,54.058349215795126
10,Crowded,1.8862494254273638,17.261093139648438,4.375710964202881,140.7672119140625,9.972472190856934,54.57448376430554
